EstablecimientoGlosa;RegionGlosa;TipoEstablecimientoGlosa;DependenciaAdministrativa;NivelAtencionEstabglosa;ComunaGlosa;FechaInicioFuncionamientoEstab;TieneServicioUrgencia;TipoUrgencia;Latitud;Longitud;TipoSistemaSaludGlosa;EstadoFuncionamiento;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa
Centro de Salud Mutual Cchc Punta Arenas;Región De Magallanes Y De La Antártica Chilena;Centro de Salud Privado;Privado;Secundario;Punta Arenas;;NO;No Aplica;-53.168237;-70.922324;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Laboratorio Clínico de Agostini y Cia. Ltda.;Región De Magallanes Y De La Antártica Chilena;Laboratorio Clínico;Privado;No Aplica;Punta Arenas;17-07-2008;NO;No Aplica;-53.168016;-70.91972;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Laboratorio Clínico Corporación Municipal Punta Arenas;Región De Magallanes Y De La Antártica Chilena;Laboratorio Clínico;Municipal;No Aplica;Punta Arenas;;NO;No Aplica;-53.167827;-70.920882;Público;Vigente en Operación Habitual;Pendiente;No Aplica
Unidad de Salud Funcionario S.S Magallanes;Región De Magallanes Y De La Antártica Chilena;Unidad de Salud Funcionarios;Servicio de Salud;Secundario;Punta Arenas;29-01-2021;NO;No Aplica;-53.165562;-70.908047;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Actividades Gestionadas Por la Dirección del Servicio Para Apoyo de la Red (S.S de Magallanes);Región De Magallanes Y De La Antártica Chilena;Dirección Servicio de Salud;Servicio de Salud;No Aplica;Punta Arenas;;NO;No Aplica;-53.165562;-70.908047;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
PRAIS (S.S Magallanes);Región De Magallanes Y De La Antártica Chilena;Programa de Reparación y Atención Integral de Salud (PRAIS);Servicio de Salud;No Aplica;Punta Arenas;;NO;No Aplica;-53.165562;-70.908047;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
SAPU 18 de Septiembre;Región De Magallanes Y De La Antártica Chilena;Servicio de Atención Primaria de Urgencia (SAPU);Municipal;Primario;Punta Arenas;;SI;Urgencia Ambulatoria (SAPU);-53.165297;-70.930831;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar 18 Septiembre;Región De Magallanes Y De La Antártica Chilena;Centro de Salud Familiar (CESFAM);Municipal;Primario;Punta Arenas;;NO;No Aplica;-53.16522;-70.93107;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Vacunatorio SEREMI de Salud Magallanes;Región De Magallanes Y De La Antártica Chilena;Vacunatorio;SEREMI de Salud;Primario;Punta Arenas;;NO;No Aplica;-53.164875;-70.910293;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Clínica de Recuperación Hogar de Cristo Juan Pablo II;Región De Magallanes Y De La Antártica Chilena;Clínica;Privado;No Aplica;Punta Arenas;;NO;No Aplica;-53.164726;-70.91057;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
Centro Diagnóstico Clinica Magallanes;Región De Magallanes Y De La Antártica Chilena;Centro de Salud Privado;Privado;Secundario;Punta Arenas;;NO;No Aplica;-53.16293;-70.923197;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Centro Médico y Dental Megasalud S.A Punta Arenas;Región De Magallanes Y De La Antártica Chilena;Centro de Salud Privado;Privado;No Aplica;Punta Arenas;;NO;No Aplica;-53.162831;-70.905418;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Laboratorio Magallanes;Región De Magallanes Y De La Antártica Chilena;Laboratorio Clínico;Privado;No Aplica;Punta Arenas;17-03-1978;NO;No Aplica;-53.161713;-70.900754;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Laboratorio Clínico Medi-lab S.A;Región De Magallanes Y De La Antártica Chilena;Laboratorio Clínico;Privado;No Aplica;Punta Arenas;06-01-2010;NO;No Aplica;-53.161592;-70.90533;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Centro Médico Medvital;Región De Magallanes Y De La Antártica Chilena;Centro de Salud Privado;Privado;Secundario;Punta Arenas;;NO;No Aplica;-53.161227;-70.911645;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Policlínico de la Fuerzas Armadas y de Orden;Región De Magallanes Y De La Antártica Chilena;Centro de Salud Privado;Fuerzas Armadas y de Orden (FFAA);Secundario;Punta Arenas;;NO;No Aplica;-53.160682;-70.908544;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Clínica Croacia;Región De Magallanes Y De La Antártica Chilena;Clínica;Privado;No Aplica;Punta Arenas;;NO;No Aplica;-53.158399;-70.896966;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
Instituto Médico Sarmiento;Región De Magallanes Y De La Antártica Chilena;Centro de Salud Privado;Privado;Secundario;Punta Arenas;;NO;No Aplica;-53.155788;-70.903864;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Carlos Ibáñez;Región De Magallanes Y De La Antártica Chilena;Centro de Salud Familiar (CESFAM);Municipal;Primario;Punta Arenas;;NO;No Aplica;-53.15522;-70.93044;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
SAPU Carlos Ibañez;Región De Magallanes Y De La Antártica Chilena;Servicio de Atención Primaria de Urgencia (SAPU);Municipal;Primario;Punta Arenas;01-06-2021;SI;Urgencia Ambulatoria (SAPU);-53.155217;-70.93044;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Central Odontológica de Magallanes de 3Era Zona Naval;Región De Magallanes Y De La Antártica Chilena;Centro de Salud Privado;Fuerzas Armadas y de Orden (FFAA);Secundario;Punta Arenas;;NO;No Aplica;-53.154624;-70.901345;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Hospital FFAA Cirujano Guzmán;Región De Magallanes Y De La Antártica Chilena;Hospital;Fuerzas Armadas y de Orden (FFAA);Terciario;Punta Arenas;;SI;Urgencia Hospitalaria (UEH);-53.154624;-70.901345;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-hospitalaria
Centro de Salud Familiar Dr. Thomas Fenton;Región De Magallanes Y De La Antártica Chilena;Centro de Salud Familiar (CESFAM);Municipal;Primario;Punta Arenas;;NO;No Aplica;-53.14821;-70.88754;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Rehabilitación Club de Leones Cruz del Sur;Región De Magallanes Y De La Antártica Chilena;Centro de Salud Privado;Privado;Secundario;Punta Arenas;;NO;No Aplica;-53.143158;-70.881773;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Dr. Mateo Bencur;Región De Magallanes Y De La Antártica Chilena;Centro de Salud Familiar (CESFAM);Municipal;Primario;Punta Arenas;;NO;No Aplica;-53.14212;-70.91263;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
SAPU Dr. Mateo Bencur;Región De Magallanes Y De La Antártica Chilena;Servicio de Atención Primaria de Urgencia (SAPU);Municipal;Primario;Punta Arenas;;SI;Urgencia Ambulatoria (SAPU);-53.141867;-70.912506;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
CEINSA;Región Metropolitana De Santiago;Clínica Dental;Privado;No Aplica;Puente Alto;07-06-2022;NO;No Aplica;-33.605288;-70.570507;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Policlínico Achs (Punta Arenas);Región De Magallanes Y De La Antártica Chilena;Centro de Salud Privado;Privado;Secundario;Punta Arenas;;NO;No Aplica;-53.137931;-70.887143;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Clínica Magallanes;Región De Magallanes Y De La Antártica Chilena;Clínica;Privado;Terciario;Punta Arenas;;SI;Urgencia Hospitalaria (UEH);-53.137303;-70.887283;Privado;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-hospitalaria
Centro de Atención Instituto de Seguridad del Trabajador Punta Arenas;Región De Magallanes Y De La Antártica Chilena;Centro de Salud Privado;Privado;Secundario;Punta Arenas;30-12-2005;NO;No Aplica;-53.136785;-70.884704;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Clínica IMET;Región De Magallanes Y De La Antártica Chilena;Centro de Salud Privado;Privado;Secundario;Punta Arenas;04-05-2018;NO;No Aplica;-53.129674;-70.877252;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Centro Comunitario de Salud Familiar Dr. Mateo Bencur;Región De Magallanes Y De La Antártica Chilena;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;Punta Arenas;;NO;No Aplica;-53.12652;-70.91809;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Hospital Clínico de Magallanes Dr. Lautaro Navarro Avaria;Región De Magallanes Y De La Antártica Chilena;Hospital;Servicio de Salud;Terciario;Punta Arenas;16-11-1983;SI;Urgencia Hospitalaria (UEH);-53.12215;-70.896232;Público;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-hospitalaria
Centro Comunitario de Salud Familiar Río Seco;Región De Magallanes Y De La Antártica Chilena;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;Punta Arenas;;NO;No Aplica;-53.05755;-70.85788;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Río Verde;Región De Magallanes Y De La Antártica Chilena;Posta de Salud Rural (PSR);Municipal;Primario;Río Verde;;NO;No Aplica;-52.65109;-71.46342;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Atención Primaria Fernando Ampuero Cheuquel;Región De Magallanes Y De La Antártica Chilena;Posta de Salud Rural (PSR);Municipal;Primario;Laguna Blanca;;NO;No Aplica;-52.42827;-71.41302;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Punta Delgada;Región De Magallanes Y De La Antártica Chilena;Posta de Salud Rural (PSR);Municipal;Primario;San Gregorio;;NO;No Aplica;-52.31638;-69.68958;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Laboratorio Clínico Biohealth;Región De Magallanes Y De La Antártica Chilena;Laboratorio Clínico;Privado;No Aplica;Natales;29-07-2015;NO;No Aplica;-51.731515;-72.499538;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Hospital Dr. Augusto Essmann Burgos ( Natales);Región De Magallanes Y De La Antártica Chilena;Hospital;Servicio de Salud;Terciario;Natales;11-09-2017;SI;Urgencia Hospitalaria (UEH);-51.7286649;-72.4809825;Público;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-hospitalaria
Centro de Salud Familiar Natales;Región De Magallanes Y De La Antártica Chilena;Centro de Salud Familiar (CESFAM);Municipal;Primario;Natales;;NO;No Aplica;-51.72835;-72.48268;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
"SAPU ""Dr. Juan Lozic Perez""";Región De Magallanes Y De La Antártica Chilena;Servicio de Atención Primaria de Urgencia (SAPU);Municipal;Primario;Natales;03-05-2021;SI;Urgencia Ambulatoria (SAPU);-51.728207;-72.482647;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Policlínico de Asociación Chilena de Seguridad;Región De Magallanes Y De La Antártica Chilena;Centro de Salud Privado;Privado;Secundario;Natales;17-11-1998;NO;No Aplica;-51.726161;-72.501522;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Laboratorio Clínico Austral;Región De Magallanes Y De La Antártica Chilena;Laboratorio Clínico;Privado;No Aplica;Natales;30-08-1988;NO;No Aplica;-51.725382;-72.507691;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Posta de Salud Rural Dorotea;Región De Magallanes Y De La Antártica Chilena;Posta de Salud Rural (PSR);Municipal;Primario;Natales;;NO;No Aplica;-51.60621;-72.33238;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Oficina Sanitaria Dorotea;Región De Magallanes Y De La Antártica Chilena;Oficina Sanitaria;SEREMI de Salud;No Aplica;Natales;;NO;No Aplica;-51.604699;-72.333088;Público;Vigente en Operación Habitual;No Aplica;No Aplica
Posta de Salud Rural Cerro Castillo (Torres del Paine);Región De Magallanes Y De La Antártica Chilena;Posta de Salud Rural (PSR);Municipal;Primario;Torres del Paine;;NO;No Aplica;-51.25538;-72.34362;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Puerto Edén;Región De Magallanes Y De La Antártica Chilena;Posta de Salud Rural (PSR);Municipal;Primario;Natales;;NO;No Aplica;-49.12549;-74.41271;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Villa O'higgins;Región De Aysén Del General Carlos Ibañez Del Campo;Posta de Salud Rural (PSR);Servicio de Salud;Primario;O'higgins;;NO;No Aplica;-48.469779;-72.560767;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Caleta Tortel;Región De Aysén Del General Carlos Ibañez Del Campo;Posta de Salud Rural (PSR);Servicio de Salud;Primario;Tortel;;NO;No Aplica;-47.79589;-73.5323;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Hospital Lord Cochrane;Región De Aysén Del General Carlos Ibañez Del Campo;Hospital;Servicio de Salud;Primario;Cochrane;30-08-2021;SI;Urgencia Hospitalaria (UEH);-47.25557;-72.57073;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-hospitalaria
Posta de Salud Rural Puerto Bertrand;Región De Aysén Del General Carlos Ibañez Del Campo;Posta de Salud Rural (PSR);Servicio de Salud;Primario;Chile Chico;;NO;No Aplica;-47.01695;-72.82942;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Bernardita Zuñiga Vargas;Región De Aysén Del General Carlos Ibañez Del Campo;Posta de Salud Rural (PSR);Servicio de Salud;Primario;Chile Chico;;NO;No Aplica;-46.84436;-72.70212;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Mallín Grande;Región De Aysén Del General Carlos Ibañez Del Campo;Posta de Salud Rural (PSR);Servicio de Salud;Primario;Chile Chico;;NO;No Aplica;-46.72719;-72.46432;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Río Tranquilo;Región De Aysén Del General Carlos Ibañez Del Campo;Posta de Salud Rural (PSR);Servicio de Salud;Primario;Río Ibáñez;;NO;No Aplica;-46.62364;-72.67736;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Puerto Sánchez;Región De Aysén Del General Carlos Ibañez Del Campo;Posta de Salud Rural (PSR);Servicio de Salud;Primario;Río Ibáñez;;NO;No Aplica;-46.59205;-72.57875;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Hospital Dr. Leopoldo Ortega Rodríguez (Chile Chico);Región De Aysén Del General Carlos Ibañez Del Campo;Hospital;Servicio de Salud;Primario;Chile Chico;;SI;Urgencia Hospitalaria (UEH);-46.54166;-71.7251;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-hospitalaria
Posta de Salud Rural Bahía Murta;Región De Aysén Del General Carlos Ibañez Del Campo;Posta de Salud Rural (PSR);Servicio de Salud;Primario;Río Ibáñez;;NO;No Aplica;-46.458216;-72.673995;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Puerto Ibáñez;Región De Aysén Del General Carlos Ibañez Del Campo;Posta de Salud Rural (PSR);Servicio de Salud;Primario;Río Ibáñez;;NO;No Aplica;-46.29201;-71.93383;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Cerro Castillo (Río Ibáñez);Región De Aysén Del General Carlos Ibañez Del Campo;Posta de Salud Rural (PSR);Servicio de Salud;Primario;Río Ibáñez;;NO;No Aplica;-46.12091;-72.1607;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Balmaceda;Región De Aysén Del General Carlos Ibañez Del Campo;Posta de Salud Rural (PSR);Servicio de Salud;Primario;Coyhaique;;NO;No Aplica;-45.90909;-71.69802;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural El Blanco;Región De Aysén Del General Carlos Ibañez Del Campo;Posta de Salud Rural (PSR);Servicio de Salud;Primario;Coyhaique;;NO;No Aplica;-45.81443;-71.91623;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Valle Simpson;Región De Aysén Del General Carlos Ibañez Del Campo;Posta de Salud Rural (PSR);Servicio de Salud;Primario;Coyhaique;;NO;No Aplica;-45.71442;-72.08107;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Lago Atravesado;Región De Aysén Del General Carlos Ibañez Del Campo;Posta de Salud Rural (PSR);Servicio de Salud;Primario;Coyhaique;;NO;No Aplica;-45.66848;-72.21204;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
CESFAM Víctor Domingo Silva;Región De Aysén Del General Carlos Ibañez Del Campo;Consultorio General Urbano (CGU);Servicio de Salud;Primario;Coyhaique;12-03-2019;NO;No Aplica;-45.58272;-72.06043;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Policlínico del Trabajador Coyhaique;Región De Aysén Del General Carlos Ibañez Del Campo;Centro de Salud Privado;Privado;Secundario;Coyhaique;;NO;No Aplica;-45.580609;-72.073614;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
SAPU Dr. Alejandro Gutiérrez;Región De Aysén Del General Carlos Ibañez Del Campo;Servicio de Atención Primaria de Urgencia (SAPU);Servicio de Salud;Primario;Coyhaique;;SI;Urgencia Ambulatoria (SAPU);-45.579991;-72.046529;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Consultorio Alejandro Gutiérrez;Región De Aysén Del General Carlos Ibañez Del Campo;Consultorio General Urbano (CGU);Servicio de Salud;Primario;Coyhaique;;NO;No Aplica;-45.57986;-72.04638;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
COSAM Coyhaique;Región De Aysén Del General Carlos Ibañez Del Campo;Centro Comunitario de Salud Mental (COSAM);Servicio de Salud;Secundario;Coyhaique;29-08-2016;NO;No Aplica;-45.578087;-72.055291;Público;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Centro Comunitario de Salud Familiar Alejandro Gutierrez;Región De Aysén Del General Carlos Ibañez Del Campo;Centro Comunitario de Salud Familiar (CECOSF);Servicio de Salud;Primario;Coyhaique;21-06-2017;NO;No Aplica;-45.57408;-72.07655;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Vacunatorio - Clínica Bilbao;Región De Aysén Del General Carlos Ibañez Del Campo;Vacunatorio;Privado;Primario;Coyhaique;06-08-2015;NO;No Aplica;-45.573014;-72.06877;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro Médico y Dental Clínica Bilbao;Región De Aysén Del General Carlos Ibañez Del Campo;Centro de Salud Privado;Privado;No Aplica;Coyhaique;06-01-2012;NO;No Aplica;-45.573005;-72.068789;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Laboratorio Clínico Diagnóstico Análisis Coyhaique;Región De Aysén Del General Carlos Ibañez Del Campo;Laboratorio Clínico;Privado;No Aplica;Coyhaique;15-11-2007;NO;No Aplica;-45.57109;-72.064617;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Centro de Salud Mutual Cchc Coyhaique;Región De Aysén Del General Carlos Ibañez Del Campo;Centro de Salud Privado;Privado;Secundario;Coyhaique;;NO;No Aplica;-45.571075;-72.064675;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Laboratorio Clínico Thomas Ltda.;Región De Aysén Del General Carlos Ibañez Del Campo;Laboratorio Clínico;Privado;No Aplica;Coyhaique;12-08-1993;NO;No Aplica;-45.570648;-72.066873;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Centro Médico y Dental XI Zona Aysén del General Carlos Ibáñez del Campo;Región De Aysén Del General Carlos Ibañez Del Campo;Centro de Salud Privado;Fuerzas Armadas y de Orden (FFAA);No Aplica;Coyhaique;;NO;No Aplica;-45.569792;-72.063939;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Servicios de Enfermería y Salud Camila Barrueto;Región De Aysén Del General Carlos Ibañez Del Campo;Vacunatorio;Privado;Primario;Coyhaique;30-07-2018;NO;No Aplica;-45.568717;-72.0674;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Hospital Regional de Coyhaique;Región De Aysén Del General Carlos Ibañez Del Campo;Hospital;Servicio de Salud;Terciario;Coyhaique;;SI;Urgencia Hospitalaria (UEH);-45.568399;-72.073423;Público;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-hospitalaria
Clínica Dental Móvil Simple. Pat. Movil: ZBA-651;Región De Aysén Del General Carlos Ibañez Del Campo;Unidad de Procedimientos Móvil;Servicio de Salud;Primario;Coyhaique;30-12-2005;NO;No Aplica;-45.567569;-72.073585;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Mamógrafo Digital - Ecotomógrafo Móvil. Pat. PX1462-2 (SS Aysén);Región De Aysén Del General Carlos Ibañez Del Campo;Unidad de Procedimientos Móvil;Servicio de Salud;Primario;Coyhaique;03-08-2017;NO;No Aplica;-45.567569;-72.073585;Público;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
Unidad de Salud Funcionario S.S Aisén;Región De Aysén Del General Carlos Ibañez Del Campo;Unidad de Salud Funcionarios;Servicio de Salud;Secundario;Coyhaique;29-01-2021;NO;No Aplica;-45.567569;-72.073585;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Actividades Gestionadas Por la Dirección del Servicio Para Apoyo de la Red (S.S de Aysén);Región De Aysén Del General Carlos Ibañez Del Campo;Dirección Servicio de Salud;Servicio de Salud;No Aplica;Coyhaique;;NO;No Aplica;-45.567569;-72.073585;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
PRAIS (S.S Aisén);Región De Aysén Del General Carlos Ibañez Del Campo;Programa de Reparación y Atención Integral de Salud (PRAIS);Servicio de Salud;No Aplica;Coyhaique;;NO;No Aplica;-45.567569;-72.073585;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro Clínico Militar Coyhaique;Región De Aysén Del General Carlos Ibañez Del Campo;Centro de Salud Privado;Fuerzas Armadas y de Orden (FFAA);Secundario;Coyhaique;;NO;No Aplica;-45.565254;-72.06796;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Instituto Teletón Aysén;Región De Aysén Del General Carlos Ibañez Del Campo;Centro de Salud Privado;Privado;Secundario;Coyhaique;02-07-2013;NO;No Aplica;-45.564525;-72.074413;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Centro de Salud Mutual Cchc Puerto Chacabuco;Región De Aysén Del General Carlos Ibañez Del Campo;Centro de Salud Privado;Privado;Secundario;Aisén;;NO;No Aplica;-45.461797;-72.818164;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
